state_name,state,abbrev_state,postal_code,permit_2005,permit_2016,permit_statute,permit_bill,repeal_bill,bill_passed,bill_repealed
Alabama,1,Ala.,AL,0,0,,,,,
Alaska,2,Alaska,AK,0,0,,,,,
Arizona,4,Ariz.,AZ,0,0,,,,,
Arkansas,5,Ark.,AR,0,0,,,,,
California,6,Calif.,CA,0,1,"Cal Pen Code з 26500, Cal Pen Code з 12070","Stats 2010 ch 711 з 6 (SB 1080), ",,1994,
Colorado,8,Colo.,CO,0,0,,,,,
Connecticut,9,Conn.,CT,1,1,Conn. Gen. Stat. з 29-36f ,"July Sp. Sess. P.A. 94-1, S. 7.",,1994,
Delaware,10,Del.,DE,0,0,,,,,
Florida,12,Fla.,FL,0,0,,,,,
Georgia,13,Ga.,GA,0,0,,,,,
Hawaii,15,Hawaii,HI,1,1,HRS за134-2,"L 1988, c 275, pt of з 2",,1988,
Idaho,16,Idaho,ID,0,0,,,,,
Illinois,17,Ill.,IL,1,1,430 ILCS 65/2,"Laws 1967, p. 2600",,1967,
Indiana,18,Ind.,IN,0,0,,,,,
Iowa,19,Iowa,IA,1,1,Iowa Code з 724.15 ,"C79, 81, з 724.15",,1979,
Kansas,20,Kans.,KS,0,0,,,,,
Kentucky,21,Ky.,KY,0,0,,,,,
Louisiana,22,La.,LA,0,0,,,,,
Maine,23,Maine,ME,0,0,,,,,
Maryland,24,Md.,MD,0,1,Md. PUBLIC SAFETY Code Ann. з 5-117.1,2013 Md. ALS 427,,2013,
Massachusetts,25,Mass.,MA,1,1,"ALM GL ch. 140, з 131 ",,,1906,
Michigan,26,Mich.,MI,1,1,MCLS з 28.422 ,"Pub Acts 1927, No. 372, з 2",,1927,
Minnesota,27,Minn.,MN,1,1,Minn. Stat. з 624.7131 ,1977 c 349 s 4,,1977,
Mississippi,28,Miss.,MS,0,0,,,,,
Missouri,29,Mo.,MO,1,0,з 571.080 R.S.Mo. ,"(L. 1981 H.B. 296 subsecs. 1, 2, 3,",2007 Mo. SB 62,1981,2007
Montana,30,Mont.,MT,0,0,,,,,
Nebraska,31,Nebr.,NE,1,1,R.R.S. Neb. з 69-2403,"Laws 1991, LB 355, з 2",,1991,
Nevada,32,Nev.,NV,0,0,,,,,
New Hampshire,33,N.H.,NH,0,0,,,,,
New Jersey,34,N.J.,NJ,1,1,N.J. Stat. з 2C:58-3 ,"L. 1978, c. 95",,1978,
New Mexico,35,N.M.,NM,0,0,,,,,
New York,36,N.Y.,NY,1,1,NY CLS Penal з 400.00,"L 1965, ch 1030, з 1, eff Sept 1, 1967",,1967,
North Carolina,37,N.C.,NC,1,1,N.C. Gen. Stat. з 14-402 ,"1919, c. 197",,1919,
North Dakota,38,N.D.,ND,0,0,,,,,
Ohio,39,Ohio,OH,0,0,,,,,
Oklahoma,40,Okla.,OK,0,0,,,,,
Oregon,41,Ore.,OR,0,0,,,,,
Pennsylvania,42,Pa.,PA,0,0,,,,,
Rhode Island,44,R.I.,RI,0,1,R.I. Gen. Laws з 11-47-35,G.L. 1956 (1981 Reenactment) з 11-47-35,,1956,
South Carolina,45,S.C.,SC,0,0,,,,,
South Dakota,46,S.D.,SD,0,0,,,,,
Tennessee,47,Tenn.,TN,0,0,,,,,
Texas,48,Tex.,TX,0,0,,,,,
Utah,49,Utah,UT,0,0,,,,,
Vermont,50,Vt.,VT,0,0,,,,,
Virginia,51,Va.,VA,0,0,,,,,
Washington,53,Wash.,WA,0,0,,,,,
West Virginia,54,W.Va.,WV,0,0,,,,,
Wisconsin,55,Wis.,WI,0,0,,,,,
Wyoming,56,Wyo.,WY,0,0,,,,,
